HH0,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,HH11,HH12,HH13,HH14,HH15,HH16,HH17,HH18,HH19,HH20,HH21,HH22,HH23,HH24,HH25,HH26,HH27,HH28,HH29,Cd,Cl
-0.000217303,0.001060936,-0.001580415,0.004267115,-0.004336274,0.004557935,-0.005319618,-0.004643429,-0.001077035,-0.004452213,-0.000746405,0.004981911,0.001580137,0.004134687,0.000536559,-0.00054981,-0.000272036,0.003498424,0.000713623,0.001786496,-0.003145673,0.000960695,0.001862842,6.96E-05,0.001033813,-0.002436836,0.000290657,0.002285295,-0.003138684,0.003462333,0.032885,0.474197
0.000286595,-0.001034504,0.00352716,-0.003709284,-0.004569085,-0.004668092,0.002350209,0.005672918,0.003909867,-0.005951721,-0.003826065,-0.003953309,0.002412969,-0.001996125,-0.001307782,0.001271736,-0.003193436,2.63E-05,-0.003516454,0.001999171,0.000310076,0.00022646,0.001509806,-0.003437272,0.002081208,0.000450556,-0.000547879,-0.003456348,-0.001706106,0.000934038,0.008256,0.27359
-0.000229584,-0.00020005,-0.004276928,-0.002046623,0.004653208,-0.000325913,0.005405245,-0.004639818,0.004637945,0.004484644,0.000165772,-0.0022121,0.003468569,0.003366782,0.003262219,-0.001960415,-0.0029574,-0.000458875,-0.003438685,0.003706863,-0.001210941,0.001364826,0.002058206,-0.001339656,-0.002569797,0.000193634,0.001152195,0.001552314,-0.000774497,0.003264306,0.122537,0.098567
0.00269893,0.000880762,0.000284392,-0.00081568,0.001428548,-0.002665671,0.000443294,0.005948734,-0.002305802,-0.001245277,0.002786258,-0.000771023,0.003190053,-0.000147206,-0.002426954,0.003729497,0.003010128,-0.002168679,0.003045677,0.000849802,-0.001736982,-0.000465983,0.00022141,-0.003407374,-0.002640682,-0.001106291,-0.003528026,-0.001500774,-0.003254413,0.000600557,0.027665,0.300188
-0.000635018,-0.002312427,0.004240445,-0.001621948,0.001622126,-0.002099633,-0.006853557,-0.006495965,0.00411533,0.003558071,0.000869422,-0.000245464,0.003497188,0.000912654,-0.000199997,0.00106829,0.002009905,0.002902383,-0.000320013,0.002958426,-0.00236537,0.003775763,0.001799752,2.60E-05,-0.0011436,-0.003310982,0.003473055,0.000584568,-0.002957594,0.002894715,0.015053,0.303069
0.001672637,0.00127897,-0.000284875,-0.002942534,-0.005427241,0.005483035,0.001758634,-0.003986118,0.001258101,-0.005822809,-0.001643287,0.004356255,-0.002218007,-0.001815164,0.003513836,-0.002433193,-0.001786701,-0.003589634,0.003076969,0.002822293,0.003145375,-0.00166125,-0.003200875,0.002725248,-0.002896496,0.000119132,0.002938136,-0.001489333,-0.000475359,-0.001057622,0.105211,0.110103
0.00070983,-0.002850736,0.003231832,-0.001785215,0.002138079,-7.69E-06,-0.001902324,-0.006605103,-0.003412688,-0.003523126,0.0016456,-0.001195503,0.001277792,0.001077346,0.001866682,0.000132978,-0.003926154,0.001192075,-0.001715353,-0.001410716,-0.001151038,-0.001504532,0.000619251,-0.001008084,-0.002047987,-0.002289155,0.002248768,0.002202921,0.001986104,0.00278804,0.006269,0.263226
-0.000820939,-0.000968244,0.002931826,-0.003211791,0.000319857,0.004219945,-0.005658819,0.006713247,-0.004676039,0.001157701,-0.004415744,-0.003598814,0.000216589,0.002576232,0.003543844,0.000839905,0.00212738,0.002024884,0.003618266,-0.002049875,0.002404174,0.001454135,-0.000226983,-0.003404677,0.001387096,0.003187732,-4.50E-05,-0.001613652,0.001318911,-0.00081728,0.030921,0.277774
0.000769974,0.002161484,-0.002768567,-0.004117681,6.57E-05,0.002297394,-0.003759302,0.003318629,0.000196175,-0.001536256,-0.005295484,-0.000816861,-0.003182766,-0.000658235,-0.000916262,0.001947019,-0.001566166,-0.000490859,-0.003250982,-0.000369413,-0.001953061,0.000152404,-0.000716827,-0.000535478,-0.001383628,-0.00339149,-0.001240643,-0.001293703,0.00139939,-0.001133363,0.026146,0.385979
-0.001617166,0.00194081,-0.001038988,-0.001443389,0.002096387,-0.000564544,0.00363135,0.00285495,-0.004485341,0.000196398,-0.004368536,0.003831786,0.001887562,-0.003301391,-0.002958684,-0.003183419,0.000376751,-0.00241162,0.000536851,-0.001196711,-0.0009581,-0.001056287,-0.002423801,-0.003208111,0.003005037,0.001893806,0.001216988,0.002996431,0.001217872,-0.002498666,0.027231,0.247101
-0.001049165,0.00114137,-0.000399464,-0.000136646,0.00506272,-0.001599484,0.002162067,-0.004546155,-0.003432207,-0.001908847,-0.003883742,-0.003937693,-0.002869274,-0.0024647,-0.002336274,-0.003124905,0.000908762,-0.002308989,-0.001518196,-0.003568313,-0.001814746,0.001396986,-0.002953888,-0.000975655,-0.001984136,0.000875001,-0.000183887,0.000559268,0.000343412,0.001630964,0.099428,0.107753
0.001506139,-0.001944373,0.002357168,-0.002948041,-9.32E-05,-0.004783068,0.004993049,0.000390349,0.003251166,-2.62E-05,-0.000673478,0.000747097,-0.002775602,-0.002166379,-0.002451485,-0.001836751,-0.001344691,-0.000965983,-0.003165989,0.000112188,0.000429533,0.00172564,-0.002557359,0.002392628,0.000539504,0.00294498,0.002764713,0.003423396,-0.00326546,0.003287603,0.01575,0.488536
0.001419428,-0.001348067,-0.001504613,-0.000443011,0.000143716,-0.003735498,0.000547984,-0.001799089,-0.000912008,0.003698272,0.003745802,0.003228487,0.002253725,-0.00392322,-0.000822109,-0.001916846,-9.48E-05,-0.002594687,-0.002496416,0.002537895,0.002808852,-0.003677706,0.003461394,0.00158907,0.002112876,0.001171603,-0.001808356,-0.001351965,-0.001874488,-0.001091869,0.108202,0.097235
